ID	X	Y	Curve
188	5691	4.276	61230004_M
189	5722	4.113	61230004_M
190	5752	4.01	61230004_M
191	5783	3.687	61230004_M
192	5813	3.468	61230004_M
193	5844	3.229	61230004_M
194	5875	3.319	61230004_M
195	5904	3.161	61230004_M
196	5935	3.155	61230004_M
197	5965	3.395	61230004_M
198	5996	3.618	61230004_M
199	6026	3.635	61230004_M
200	6057	3.702	61230004_M
201	6088	3.72	61230004_M
202	6118	3.593	61230004_M
203	6149	3.425	61230004_M
204	6179	3.259	61230004_M
205	6210	3.054	61230004_M
206	6241	2.982	61230004_M
207	6269	2.915	61230004_M
208	6300	2.967	61230004_M
209	6330	3.032	61230004_M
210	6361	3.597	61230004_M
211	6391	3.738	61230004_M
212	6422	3.837	61230004_M
213	6453	3.928	61230004_M
214	6483	3.695	61230004_M
215	6514	3.788	61230004_M
216	6544	3.385	61230004_M
217	6575	3.15	61230004_M
218	6606	3.019	61230004_M
219	6634	2.98	61230004_M
220	6665	3.016	61230004_M
221	6695	3.086	61230004_M
222	6726	3.53	61230004_M
223	6756	3.715	61230004_M
224	6787	3.768	61230004_M
225	6818	3.615	61230004_M
226	6848	3.634	61230004_M
227	6879	3.383	61230004_M
228	6909	3.139	61230004_M
229	6940	3.159	61230004_M
230	6971	2.981	61230004_M
231	6999	2.911	61230004_M
232	7030	3.057	61230004_M
233	7060	3.352	61230004_M
234	7091	3.706	61230004_M
235	7121	4.286	61230004_M
236	7152	4.287	61230004_M
237	7183	4.094	61230004_M
238	7213	3.988	61230004_M
239	7244	3.862	61230004_M
240	7274	3.648	61230004_M
241	7305	3.326	61230004_M
242	7336	3.163	61230004_M
243	7365	3.228	61230004_M
244	7396	3.168	61230004_M
245	7426	3.64	61230004_M
246	7457	3.839	61230004_M
247	7487	3.912	61230004_M
248	7518	4.037	61230004_M
249	7549	3.98	61230004_M
250	7579	3.799	61230004_M
251	7610	3.659	61230004_M
252	7640	3.376	61230004_M
253	7671	3.36	61230004_M
254	7702	3.142	61230004_M
255	7730	3.069	61230004_M
256	7761	3.148	61230004_M
257	7791	3.362	61230004_M
258	7822	4.199	61230004_M
259	7852	4.348	61230004_M
260	7883	4.416	61230004_M
261	7914	4.415	61230004_M
262	7944	4.285	61230004_M
263	7975	3.978	61230004_M
264	8005	3.746	61230004_M
265	8036	3.463	61230004_M
266	8067	3.947	61230004_M
267	8095	3.561	61230004_M
268	8126	3.456	61230004_M
269	8156	3.442	61230004_M
270	8187	3.682	61230004_M
271	8217	4.056	61230004_M
272	8248	4.149	61230004_M
273	8279	4.052	61230004_M
274	8309	3.965	61230004_M
275	8340	3.681	61230004_M
276	8370	3.402	61230004_M
277	8401	3.265	61230004_M
278	8432	3.127	61230004_M
279	8460	3.258	61230004_M
280	8491	3.223	61230004_M
281	8521	3.436	61230004_M
282	8552	3.568	61230004_M
283	8582	4.191	61230004_M
284	8613	4.184	61230004_M
285	8644	4.267	61230004_M
286	8674	4.085	61230004_M
287	8705	3.723	61230004_M
288	8735	3.476	61230004_M
289	8766	3.253	61230004_M
290	8797	3.128	61230004_M
291	8826	3.082	61230004_M
292	8857	3.139	61230004_M
293	8887	3.37	61230004_M
294	8918	3.936	61230004_M
295	8948	3.959	61230004_M
296	8979	3.903	61230004_M
297	9010	3.942	61230004_M
298	9040	3.802	61230004_M
299	9071	3.599	61230004_M
300	9101	3.559	61230004_M
301	9132	3.325	61230004_M
302	9163	3.132	61230004_M
303	9191	3.067	61230004_M
304	9222	3.138	61230004_M
305	9252	3.587	61230004_M
306	9283	3.632	61230004_M
307	9313	3.796	61230004_M
308	9344	3.811	61230004_M
309	9375	3.834	61230004_M
310	9405	3.668	61230004_M
311	9436	3.494	61230004_M
312	9466	3.242	61230004_M
313	9497	3.071	61230004_M
314	9528	2.965	61230004_M
315	9556	3.005	61230004_M
316	9587	3.06	61230004_M
317	9617	3.11	61230004_M
318	9648	3.423	61230004_M
319	9678	3.572	61230004_M
320	9709	3.741	61230004_M
321	9740	3.698	61230004_M
322	9770	3.529	61230004_M
323	9801	3.363	61230004_M
324	9831	3.127	61230004_M
325	9862	2.927	61230004_M
326	9893	2.851	61230004_M
327	9921	2.79	61230004_M
328	9952	3.056	61230004_M
329	9982	3.674	61230004_M
330	10013	3.611	61230004_M
331	10043	4.081	61230004_M
332	10074	4.291	61230004_M
333	10105	4.12	61230004_M
334	10135	4.038	61230004_M
335	10166	3.781	61230004_M
336	10196	3.546	61230004_M
337	10227	3.407	61230004_M
338	10258	3.189	61230004_M
339	10287	3.107	61230004_M
340	10318	3.141	61230004_M
341	10348	3.419	61230004_M
342	10379	3.983	61230004_M
343	10409	4.483	61230004_M
344	10440	4.356	61230004_M
345	10471	4.215	61230004_M
346	10501	4.165	61230004_M
347	10532	3.834	61230004_M
348	10562	3.555	61230004_M
349	10593	3.31	61230004_M
350	10624	3.272	61230004_M
351	10652	3.308	61230004_M
352	10683	3.229	61230004_M
353	10713	3.52	61230004_M
354	10744	3.895	61230004_M
355	10774	3.868	61230004_M
356	10805	4.112	61230004_M
357	10836	3.969	61230004_M
358	10866	3.849	61230004_M
359	10897	3.8	61230004_M
360	10927	3.401	61230004_M
361	0	3.494	61230005_M
362	31	3.413	61230005_M
363	60	3.325	61230005_M
364	91	3.37	61230005_M
365	121	3.622	61230005_M
366	121	3.622	61230005_M
367	152	3.77	61230005_M
368	182	4.687	61230005_M
369	213	5.063	61230005_M
370	244	5.009	61230005_M
371	274	4.51	61230005_M
372	305	4.428	61230005_M
373	335	3.951	61230005_M
374	366	3.827	61230005_M
375	397	3.615	61230005_M
376	425	3.541	61230005_M
377	456	3.655	61230005_M
378	486	3.999	61230005_M
379	517	4.045	61230005_M
380	547	4.41	61230005_M
381	578	4.402	61230005_M
382	609	4.348	61230005_M
383	639	4.123	61230005_M
384	670	3.872	61230005_M
385	700	3.581	61230005_M
386	731	3.552	61230005_M
387	762	3.374	61230005_M
388	790	3.357	61230005_M
389	821	3.333	61230005_M
390	851	3.495	61230005_M
391	882	4.501	61230005_M
392	912	4.67	61230005_M
393	943	4.844	61230005_M
394	974	4.937	61230005_M
395	1004	4.615	61230005_M
396	1035	4.584	61230005_M
397	1065	4.213	61230005_M
398	1096	3.882	61230005_M
399	1127	3.694	61230005_M
400	1155	3.603	61230005_M
401	1186	3.569	61230005_M
402	1216	3.862	61230005_M
403	1247	4.906	61230005_M
404	1277	4.978	61230005_M
405	1308	5.018	61230005_M
406	1339	5.154	61230005_M
407	1369	4.778	61230005_M
408	1400	4.497	61230005_M
409	1430	3.998	61230005_M
410	1461	3.71	61230005_M
411	1492	3.615	61230005_M
412	1521	3.529	61230005_M
413	1552	3.581	61230005_M
414	1582	3.836	61230005_M
415	1613	3.959	61230005_M
416	1643	4.908	61230005_M
417	1674	5.244	61230005_M
418	1705	5.105	61230005_M
419	1735	4.605	61230005_M
420	1766	4.513	61230005_M
421	1796	4.037	61230005_M
422	1827	3.864	61230005_M
423	1858	3.647	61230005_M
424	1886	3.57	61230005_M
425	1917	3.688	61230005_M
426	1947	3.838	61230005_M
427	1978	4.329	61230005_M
428	2008	4.435	61230005_M
429	2039	4.412	61230005_M
430	2070	4.378	61230005_M
431	2100	4.191	61230005_M
432	2131	4.205	61230005_M
433	2161	3.878	61230005_M
434	2192	3.772	61230005_M
435	2223	3.597	61230005_M
436	2251	3.468	61230005_M
437	2282	3.508	61230005_M
438	2312	3.85	61230005_M
439	2343	4.351	61230005_M
440	2373	4.953	61230005_M
441	2404	5.01	61230005_M
442	2435	4.719	61230005_M
443	2465	4.662	61230005_M
444	2496	4.368	61230005_M
445	2526	3.975	61230005_M
446	2557	3.781	61230005_M
447	2588	3.616	61230005_M
448	2616	3.585	61230005_M
449	2647	3.578	61230005_M
450	2677	3.836	61230005_M
451	2708	4.425	61230005_M
452	2738	4.713	61230005_M
453	2769	4.789	61230005_M
454	2800	4.553	61230005_M
455	2830	4.198	61230005_M
456	2861	4.036	61230005_M
457	2891	3.709	61230005_M
458	2922	3.552	61230005_M
459	2953	3.503	61230005_M
460	2982	3.386	61230005_M
461	3013	3.471	61230005_M
462	3043	3.593	61230005_M
463	3074	3.647	61230005_M
464	3104	3.825	61230005_M
465	3135	3.803	61230005_M
466	3166	3.762	61230005_M
467	3196	3.701	61230005_M
468	3227	3.528	61230005_M
469	3257	3.257	61230005_M
470	3288	3.123	61230005_M
471	3319	3.089	61230005_M
472	3347	3.029	61230005_M
473	3378	3.181	61230005_M
474	3408	3.842	61230005_M
475	3439	4.098	61230005_M
476	3469	4.626	61230005_M
477	3500	4.407	61230005_M
478	3531	4.326	61230005_M
479	3561	4.011	61230005_M
480	3592	3.676	61230005_M
481	3622	3.583	61230005_M
482	3653	3.406	61230005_M
483	3684	3.262	61230005_M
484	3712	3.445	61230005_M
485	3743	3.328	61230005_M
486	3773	3.633	61230005_M
487	3804	3.938	61230005_M
488	3834	4.397	61230005_M
489	3865	4.377	61230005_M
490	3896	4.164	61230005_M
491	3926	4.1	61230005_M
492	3957	4.049	61230005_M
493	3987	3.61	61230005_M
494	4018	3.382	61230005_M
495	4049	3.277	61230005_M
496	4077	3.232	61230005_M
497	4108	3.44	61230005_M
498	4138	3.396	61230005_M
499	4169	3.687	61230005_M
500	4199	3.795	61230005_M
501	4230	3.81	61230005_M
502	4261	3.767	61230005_M
503	4291	3.773	61230005_M
504	4322	3.578	61230005_M
505	4352	3.313	61230005_M
506	4383	3.118	61230005_M
507	4414	3.024	61230005_M
508	4443	2.979	61230005_M
509	4474	3.088	61230005_M
510	4504	3.52	61230005_M
511	4535	3.951	61230005_M
512	4565	4.229	61230005_M
513	4596	4.469	61230005_M
514	4627	4.631	61230005_M
515	4657	4.236	61230005_M
516	4688	4.201	61230005_M
517	4718	3.649	61230005_M
518	4749	3.439	61230005_M
519	4780	3.392	61230005_M
520	4808	3.292	61230005_M
521	4839	3.264	61230005_M
522	4869	3.766	61230005_M
523	4900	4.313	61230005_M
524	4930	4.658	61230005_M
525	4961	5.07	61230005_M
526	4992	4.748	61230005_M
527	5022	4.635	61230005_M
528	5053	4.355	61230005_M
529	5083	3.886	61230005_M
530	5114	3.597	61230005_M
531	5145	3.467	61230005_M
532	5173	3.382	61230005_M
533	5204	3.379	61230005_M
534	5234	3.523	61230005_M
535	5265	3.884	61230005_M
536	5295	3.868	61230005_M
537	5326	3.999	61230005_M
538	5357	3.886	61230005_M
539	5387	3.688	61230005_M
540	5418	3.59	61230005_M
541	5448	3.328	61230005_M
542	5479	3.139	61230005_M
543	5510	3.065	61230005_M
544	5538	3.017	61230005_M
545	5569	3.138	61230005_M
546	5599	3.316	61230005_M
547	5630	3.735	61230005_M
548	5660	3.981	61230005_M
549	5691	4.279	61230005_M
550	5722	4.116	61230005_M
551	5752	4.013	61230005_M
552	5783	3.69	61230005_M
553	5813	3.471	61230005_M
554	5844	3.231	61230005_M
555	5875	3.321	61230005_M
556	5904	3.163	61230005_M
557	5935	3.158	61230005_M
558	5965	3.397	61230005_M
559	5996	3.621	61230005_M
560	6026	3.638	61230005_M
561	6057	3.705	61230005_M
562	6088	3.723	61230005_M
563	6118	3.596	61230005_M
564	6149	3.428	61230005_M
565	6179	3.261	61230005_M
566	6210	3.056	61230005_M
567	6241	2.984	61230005_M
568	6269	2.917	61230005_M
569	6300	2.969	61230005_M
570	6330	3.034	61230005_M
571	6361	3.6	61230005_M
572	6391	3.74	61230005_M
573	6422	3.84	61230005_M
574	6453	3.93	61230005_M
575	6483	3.698	61230005_M
576	6514	3.79	61230005_M
577	6544	3.387	61230005_M
578	6575	3.152	61230005_M
579	6606	3.021	61230005_M
580	6634	2.982	61230005_M
581	6665	3.018	61230005_M
582	6695	3.089	61230005_M
583	6726	3.532	61230005_M
584	6756	3.718	61230005_M
585	6787	3.771	61230005_M
586	6818	3.618	61230005_M
587	6848	3.637	61230005_M
588	6879	3.385	61230005_M
589	6909	3.141	61230005_M
590	6940	3.161	61230005_M
591	6971	2.983	61230005_M
592	6999	2.913	61230005_M
593	7030	3.059	61230005_M
594	7060	3.354	61230005_M
595	7091	3.708	61230005_M
596	7121	4.289	61230005_M
597	7152	4.29	61230005_M
598	7183	4.098	61230005_M
599	7213	3.991	61230005_M
600	7244	3.865	61230005_M
601	7274	3.651	61230005_M
602	7305	3.328	61230005_M
603	7336	3.165	61230005_M
604	7365	3.231	61230005_M
605	7396	3.17	61230005_M
606	7426	3.642	61230005_M
607	7457	3.841	61230005_M
608	7487	3.915	61230005_M
609	7518	4.04	61230005_M
610	7549	3.983	61230005_M
611	7579	3.802	61230005_M
612	7610	3.662	61230005_M
613	7640	3.379	61230005_M
614	7671	3.362	61230005_M
615	7702	3.145	61230005_M
616	7730	3.072	61230005_M
617	7761	3.15	61230005_M
618	7791	3.364	61230005_M
619	7822	4.201	61230005_M
620	7852	4.351	61230005_M
621	7883	4.419	61230005_M
622	7914	4.419	61230005_M
623	7944	4.288	61230005_M
624	7975	3.981	61230005_M
625	8005	3.749	61230005_M
626	8036	3.466	61230005_M
627	8067	3.949	61230005_M
628	8095	3.564	61230005_M
629	8126	3.458	61230005_M
630	8156	3.445	61230005_M
631	8187	3.685	61230005_M
632	8217	4.059	61230005_M
633	8248	4.152	61230005_M
634	8279	4.056	61230005_M
635	8309	3.968	61230005_M
636	8340	3.684	61230005_M
637	8370	3.405	61230005_M
638	8401	3.268	61230005_M
639	8432	3.13	61230005_M
640	8460	3.26	61230005_M
641	8491	3.225	61230005_M
642	8521	3.438	61230005_M
643	8552	3.57	61230005_M
644	8582	4.193	61230005_M
645	8613	4.187	61230005_M
646	8644	4.27	61230005_M
647	8674	4.088	61230005_M
648	8705	3.726	61230005_M
649	8735	3.478	61230005_M
650	8766	3.255	61230005_M
651	8797	3.13	61230005_M
652	8826	3.084	61230005_M
653	8857	3.141	61230005_M
654	8887	3.372	61230005_M
655	8918	3.939	61230005_M
656	8948	3.962	61230005_M
657	8979	3.906	61230005_M
658	9010	3.944	61230005_M
659	9040	3.805	61230005_M
660	9071	3.602	61230005_M
661	9101	3.561	61230005_M
662	9132	3.327	61230005_M
663	9163	3.134	61230005_M
664	9191	3.07	61230005_M
665	9222	3.14	61230005_M
666	9252	3.589	61230005_M
667	9283	3.635	61230005_M
668	9313	3.799	61230005_M
669	9344	3.813	61230005_M
670	9375	3.836	61230005_M
671	9405	3.67	61230005_M
672	9436	3.496	61230005_M
673	9466	3.245	61230005_M
674	9497	3.073	61230005_M
675	9528	2.967	61230005_M
676	9556	3.007	61230005_M
677	9587	3.062	61230005_M
678	9617	3.112	61230005_M
679	9648	3.425	61230005_M
680	9678	3.574	61230005_M
681	9709	3.744	61230005_M
682	9740	3.701	61230005_M
683	9770	3.532	61230005_M
684	9801	3.366	61230005_M
685	9831	3.13	61230005_M
686	9862	2.929	61230005_M
687	9893	2.853	61230005_M
688	9921	2.792	61230005_M
689	9952	3.058	61230005_M
690	9982	3.676	61230005_M
691	10013	3.613	61230005_M
692	10043	4.083	61230005_M
693	10074	4.294	61230005_M
694	10105	4.123	61230005_M
695	10135	4.041	61230005_M
696	10166	3.783	61230005_M
697	10196	3.549	61230005_M
698	10227	3.41	61230005_M
699	10258	3.192	61230005_M
700	10287	3.11	61230005_M
701	10318	3.143	61230005_M
702	10348	3.421	61230005_M
703	10379	3.985	61230005_M
704	10409	4.485	61230005_M
705	10440	4.359	61230005_M
706	10471	4.218	61230005_M
707	10501	4.168	61230005_M
708	10532	3.837	61230005_M
709	10562	3.558	61230005_M
710	10593	3.312	61230005_M
711	10624	3.274	61230005_M
712	10652	3.311	61230005_M
713	10683	3.232	61230005_M
714	10713	3.523	61230005_M
715	10744	3.898	61230005_M
716	10774	3.871	61230005_M
717	10805	4.115	61230005_M
718	10836	3.973	61230005_M
719	10866	3.852	61230005_M
720	10897	3.803	61230005_M
721	10927	3.404	61230005_M
722	0	10.475	61230013_M
723	31	10.407	61230013_M
724	60	10.374	61230013_M
725	91	10.428	61230013_M
726	121	10.719	61230013_M
727	121	10.719	61230013_M
728	152	10.743	61230013_M
729	182	11.57	61230013_M
730	213	11.642	61230013_M
731	244	11.436	61230013_M
732	274	11.09	61230013_M
733	305	11.078	61230013_M
734	335	10.735	61230013_M
735	366	10.697	61230013_M
736	397	10.593	61230013_M
737	425	10.576	61230013_M
738	456	10.671	61230013_M
739	486	11.024	61230013_M
740	517	10.96	61230013_M
741	547	11.277	61230013_M
742	578	11.176	61230013_M
743	609	11.113	61230013_M
744	639	10.873	61230013_M
745	670	10.668	61230013_M
746	700	10.536	61230013_M
747	731	10.621	61230013_M
748	762	10.42	61230013_M
749	790	10.478	61230013_M
750	821	10.424	61230013_M
751	851	10.565	61230013_M
752	882	11.446	61230013_M
753	912	11.424	61230013_M
754	943	11.454	61230013_M
755	974	11.45	61230013_M
756	1004	11.186	61230013_M
757	1035	11.213	61230013_M
758	1065	10.972	61230013_M
759	1096	10.72	61230013_M
760	1127	10.659	61230013_M
761	1155	10.624	61230013_M
762	1186	10.566	61230013_M
763	1216	10.879	61230013_M
764	1247	11.696	61230013_M
765	1277	11.579	61230013_M
766	1308	11.471	61230013_M
767	1339	11.578	61230013_M
768	1369	11.199	61230013_M
769	1400	11.103	61230013_M
770	1430	10.695	61230013_M
771	1461	10.637	61230013_M
772	1492	10.556	61230013_M
773	1521	10.543	61230013_M
774	1552	10.603	61230013_M
775	1582	10.77	61230013_M
776	1613	10.85	61230013_M
777	1643	11.659	61230013_M
778	1674	11.72	61230013_M
779	1705	11.41	61230013_M
780	1735	11.073	61230013_M
781	1766	11.18	61230013_M
782	1796	10.834	61230013_M
783	1827	10.69	61230013_M
784	1858	10.597	61230013_M
785	1886	10.567	61230013_M
786	1917	10.711	61230013_M
787	1947	10.833	61230013_M
788	1978	11.254	61230013_M
789	2008	11.224	61230013_M
790	2039	11.189	61230013_M
791	2070	11.085	61230013_M
792	2100	10.949	61230013_M
793	2131	11.1	61230013_M
794	2161	10.796	61230013_M
795	2192	10.757	61230013_M
796	2223	10.605	61230013_M
797	2251	10.517	61230013_M
798	2282	10.569	61230013_M
799	2312	10.955	61230013_M
800	2343	11.273	61230013_M
801	2373	11.681	61230013_M
802	2404	11.518	61230013_M
803	2435	11.25	61230013_M
804	2465	11.171	61230013_M
805	2496	11.091	61230013_M
806	2526	10.759	61230013_M
807	2557	10.69	61230013_M
808	2588	10.554	61230013_M
809	2616	10.649	61230013_M
810	2647	10.608	61230013_M
811	2677	10.837	61230013_M
812	2708	11.315	61230013_M
813	2738	11.443	61230013_M
814	2769	11.4	61230013_M
815	2800	11.054	61230013_M
816	2830	10.803	61230013_M
817	2861	10.812	61230013_M
818	2891	10.608	61230013_M
819	2922	10.574	61230013_M
820	2953	10.528	61230013_M
821	2982	10.413	61230013_M
822	3013	10.55	61230013_M
823	3043	10.657	61230013_M
824	3074	10.597	61230013_M
825	3104	10.802	61230013_M
826	3135	10.678	61230013_M
827	3166	10.639	61230013_M
828	3196	10.63	61230013_M
829	3227	10.553	61230013_M
830	3257	10.367	61230013_M
831	3288	10.322	61230013_M
832	3319	10.332	61230013_M
833	3347	10.247	61230013_M
834	3378	10.464	61230013_M
835	3408	11.135	61230013_M
836	3439	11.196	61230013_M
837	3469	11.554	61230013_M
838	3500	11.229	61230013_M
839	3531	11.103	61230013_M
840	3561	10.803	61230013_M
841	3592	10.645	61230013_M
842	3622	10.7	61230013_M
843	3653	10.514	61230013_M
844	3684	10.412	61230013_M
845	3712	10.737	61230013_M
846	3743	10.464	61230013_M
847	3773	10.779	61230013_M
848	3804	11.059	61230013_M
849	3834	11.433	61230013_M
850	3865	11.254	61230013_M
851	3896	10.954	61230013_M
852	3926	10.985	61230013_M
853	3957	10.991	61230013_M
854	3987	10.65	61230013_M
855	4018	10.48	61230013_M
856	4049	10.447	61230013_M
857	4077	10.444	61230013_M
858	4108	10.677	61230013_M
859	4138	10.522	61230013_M
860	4169	10.748	61230013_M
861	4199	10.82	61230013_M
862	4230	10.787	61230013_M
863	4261	10.663	61230013_M
864	4291	10.752	61230013_M
865	4322	10.589	61230013_M
866	4352	10.477	61230013_M
867	4383	10.318	61230013_M
868	4414	10.263	61230013_M
869	4443	10.213	61230013_M
870	4474	10.363	61230013_M
871	4504	10.817	61230013_M
872	4535	11.171	61230013_M
873	4565	11.316	61230013_M
874	4596	11.379	61230013_M
875	4627	11.38	61230013_M
876	4657	11.047	61230013_M
877	4688	11.111	61230013_M
878	4718	10.624	61230013_M
879	4749	10.515	61230013_M
880	4780	10.478	61230013_M
881	4808	10.406	61230013_M
882	4839	10.404	61230013_M
883	4869	10.994	61230013_M
884	4900	11.382	61230013_M
885	4930	11.465	61230013_M
886	4961	11.688	61230013_M
887	4992	11.278	61230013_M
888	5022	11.103	61230013_M
889	5053	11.039	61230013_M
890	5083	10.664	61230013_M
891	5114	10.577	61230013_M
892	5145	10.508	61230013_M
893	5173	10.454	61230013_M
894	5204	10.413	61230013_M
895	5234	10.576	61230013_M
896	5265	10.919	61230013_M
897	5295	10.826	61230013_M
898	5326	10.951	61230013_M
899	5357	10.753	61230013_M
900	5387	10.623	61230013_M
901	5418	10.605	61230013_M
902	5448	10.341	61230013_M
903	5479	10.241	61230013_M
904	5510	10.255	61230013_M
905	5538	10.259	61230013_M
906	5569	10.404	61230013_M
907	5599	10.563	61230013_M
908	5630	10.966	61230013_M
909	5660	11.118	61230013_M
910	5691	11.247	61230013_M
911	5722	11.046	61230013_M
912	5752	10.915	61230013_M
913	5783	10.708	61230013_M
914	5813	10.621	61230013_M
915	5844	10.394	61230013_M
916	5875	10.549	61230013_M
917	5904	10.378	61230013_M
918	5935	10.369	61230013_M
919	5965	10.622	61230013_M
920	5996	10.77	61230013_M
921	6026	10.681	61230013_M
922	6057	10.722	61230013_M
923	6088	10.704	61230013_M
924	6118	10.605	61230013_M
925	6149	10.562	61230013_M
926	6179	10.528	61230013_M
927	6210	10.29	61230013_M
928	6241	10.266	61230013_M
929	6269	10.222	61230013_M
930	6300	10.277	61230013_M
931	6330	10.275	61230013_M
932	6361	10.913	61230013_M
933	6391	10.949	61230013_M
934	6422	11.028	61230013_M
935	6453	10.974	61230013_M
936	6483	10.7	61230013_M
937	6514	10.966	61230013_M
