ID	X	Y	Curve
188	5660	3.433	61230004_M
189	5691	3.663	61230004_M
190	5722	3.53	61230004_M
191	5752	3.384	61230004_M
192	5783	3.128	61230004_M
193	5813	2.888	61230004_M
194	5844	2.713	61230004_M
195	5875	2.72	61230004_M
196	5904	2.643	61230004_M
197	5935	2.675	61230004_M
198	5965	2.795	61230004_M
199	5996	2.952	61230004_M
200	6026	3.031	61230004_M
201	6057	3.066	61230004_M
202	6088	3.066	61230004_M
203	6118	2.972	61230004_M
204	6149	2.803	61230004_M
205	6179	2.61	61230004_M
206	6210	2.483	61230004_M
207	6241	2.471	61230004_M
208	6269	2.436	61230004_M
209	6300	2.503	61230004_M
210	6330	2.602	61230004_M
211	6361	2.938	61230004_M
212	6391	3.104	61230004_M
213	6422	3.186	61230004_M
214	6453	3.219	61230004_M
215	6483	3.052	61230004_M
216	6514	2.961	61230004_M
217	6544	2.677	61230004_M
218	6575	2.526	61230004_M
219	6606	2.465	61230004_M
220	6634	2.449	61230004_M
221	6665	2.506	61230004_M
222	6695	2.611	61230004_M
223	6726	2.856	61230004_M
224	6756	3.017	61230004_M
225	6787	3.06	61230004_M
226	6818	2.994	61230004_M
227	6848	2.933	61230004_M
228	6879	2.738	61230004_M
229	6909	2.537	61230004_M
230	6940	2.477	61230004_M
231	6971	2.42	61230004_M
232	6999	2.39	61230004_M
233	7030	2.521	61230004_M
234	7060	2.702	61230004_M
235	7091	2.96	61230004_M
236	7121	3.468	61230004_M
237	7152	3.483	61230004_M
238	7183	3.337	61230004_M
239	7213	3.198	61230004_M
240	7244	3.036	61230004_M
241	7274	2.809	61230004_M
242	7305	2.61	61230004_M
243	7336	2.526	61230004_M
244	7365	2.573	61230004_M
245	7396	2.578	61230004_M
246	7426	2.841	61230004_M
247	7457	3.035	61230004_M
248	7487	3.184	61230004_M
249	7518	3.283	61230004_M
250	7549	3.239	61230004_M
251	7579	3.095	61230004_M
252	7610	2.921	61230004_M
253	7640	2.683	61230004_M
254	7671	2.658	61230004_M
255	7702	2.534	61230004_M
256	7730	2.505	61230004_M
257	7761	2.638	61230004_M
258	7791	2.841	61230004_M
259	7822	3.752	61230004_M
260	7852	4.11	61230004_M
261	7883	4.181	61230004_M
262	7914	4.13	61230004_M
263	7944	3.905	61230004_M
264	7975	3.59	61230004_M
265	8005	3.343	61230004_M
266	8036	3.055	61230004_M
267	8067	3.532	61230004_M
268	8095	3.176	61230004_M
269	8126	3.071	61230004_M
270	8156	3.086	61230004_M
271	8187	3.246	61230004_M
272	8217	3.541	61230004_M
273	8248	3.598	61230004_M
274	8279	3.516	61230004_M
275	8309	3.38	61230004_M
276	8340	3.15	61230004_M
277	8370	2.9	61230004_M
278	8401	2.758	61230004_M
279	8432	2.676	61230004_M
280	8460	2.722	61230004_M
281	8491	2.746	61230004_M
282	8521	2.874	61230004_M
283	8552	3.014	61230004_M
284	8582	3.416	61230004_M
285	8613	3.42	61230004_M
286	8644	3.437	61230004_M
287	8674	3.271	61230004_M
288	8705	3.016	61230004_M
289	8735	2.796	61230004_M
290	8766	2.649	61230004_M
291	8797	2.579	61230004_M
292	8826	2.556	61230004_M
293	8857	2.623	61230004_M
294	8887	2.779	61230004_M
295	8918	3.13	61230004_M
296	8948	3.244	61230004_M
297	8979	3.23	61230004_M
298	9010	3.237	61230004_M
299	9040	3.111	61230004_M
300	9071	2.915	61230004_M
301	9101	2.751	61230004_M
302	9132	2.608	61230004_M
303	9163	2.523	61230004_M
304	9191	2.506	61230004_M
305	9222	2.585	61230004_M
306	9252	2.816	61230004_M
307	9283	2.936	61230004_M
308	9313	3.108	61230004_M
309	9344	3.134	61230004_M
310	9375	3.14	61230004_M
311	9405	3.012	61230004_M
312	9436	2.831	61230004_M
313	9466	2.615	61230004_M
314	9497	2.482	61230004_M
315	9528	2.434	61230004_M
316	9556	2.427	61230004_M
317	9587	2.498	61230004_M
318	9617	2.592	61230004_M
319	9648	2.77	61230004_M
320	9678	2.885	61230004_M
321	9709	2.952	61230004_M
322	9740	2.938	61230004_M
323	9770	2.831	61230004_M
324	9801	2.667	61230004_M
325	9831	2.467	61230004_M
326	9862	2.353	61230004_M
327	9893	2.327	61230004_M
328	9921	2.293	61230004_M
329	9952	2.54	61230004_M
330	9982	2.897	61230004_M
331	10013	2.943	61230004_M
332	10043	3.444	61230004_M
333	10074	3.629	61230004_M
334	10105	3.467	61230004_M
335	10135	3.322	61230004_M
336	10166	3.086	61230004_M
337	10196	2.834	61230004_M
338	10227	2.694	61230004_M
339	10258	2.591	61230004_M
340	10287	2.55	61230004_M
341	10318	2.603	61230004_M
342	10348	2.79	61230004_M
343	10379	3.192	61230004_M
344	10409	3.704	61230004_M
345	10440	3.613	61230004_M
346	10471	3.491	61230004_M
347	10501	3.369	61230004_M
348	10532	3.115	61230004_M
349	10562	2.851	61230004_M
350	10593	2.673	61230004_M
351	10624	2.69	61230004_M
352	10652	2.693	61230004_M
353	10683	2.675	61230004_M
354	10713	2.855	61230004_M
355	10744	3.138	61230004_M
356	10774	3.21	61230004_M
357	10805	3.388	61230004_M
358	10836	3.285	61230004_M
359	10866	3.158	61230004_M
360	10897	3.035	61230004_M
361	10927	2.736	61230004_M
362	0	3.494	61230005_M
363	31	3.413	61230005_M
364	60	3.326	61230005_M
365	91	3.362	61230005_M
366	121	3.506	61230005_M
367	152	3.656	61230005_M
368	182	4.455	61230005_M
369	213	4.71	61230005_M
370	244	4.575	61230005_M
371	274	4.184	61230005_M
372	305	4.004	61230005_M
373	335	3.629	61230005_M
374	366	3.504	61230005_M
375	397	3.41	61230005_M
376	425	3.324	61230005_M
377	456	3.414	61230005_M
378	486	3.579	61230005_M
379	517	3.671	61230005_M
380	547	3.945	61230005_M
381	578	3.931	61230005_M
382	609	3.892	61230005_M
383	639	3.713	61230005_M
384	670	3.498	61230005_M
385	700	3.254	61230005_M
386	731	3.162	61230005_M
387	762	3.069	61230005_M
388	790	3.069	61230005_M
389	821	3.074	61230005_M
390	851	3.211	61230005_M
391	882	3.964	61230005_M
392	912	4.232	61230005_M
393	943	4.337	61230005_M
394	974	4.413	61230005_M
395	1004	4.099	61230005_M
396	1035	3.929	61230005_M
397	1065	3.576	61230005_M
398	1096	3.407	61230005_M
399	1127	3.372	61230005_M
400	1155	3.261	61230005_M
401	1186	3.247	61230005_M
402	1216	3.471	61230005_M
403	1247	4.223	61230005_M
404	1277	4.44	61230005_M
405	1308	4.459	61230005_M
406	1339	4.533	61230005_M
407	1369	4.216	61230005_M
408	1400	3.936	61230005_M
409	1430	3.531	61230005_M
410	1461	3.369	61230005_M
411	1492	3.263	61230005_M
412	1521	3.211	61230005_M
413	1552	3.262	61230005_M
414	1582	3.421	61230005_M
415	1613	3.558	61230005_M
416	1643	4.264	61230005_M
417	1674	4.454	61230005_M
418	1705	4.329	61230005_M
419	1735	3.989	61230005_M
420	1766	3.799	61230005_M
421	1796	3.498	61230005_M
422	1827	3.34	61230005_M
423	1858	3.222	61230005_M
424	1886	3.156	61230005_M
425	1917	3.275	61230005_M
426	1947	3.401	61230005_M
427	1978	3.759	61230005_M
428	2008	3.926	61230005_M
429	2039	3.915	61230005_M
430	2070	3.88	61230005_M
431	2100	3.702	61230005_M
432	2131	3.61	61230005_M
433	2161	3.331	61230005_M
434	2192	3.224	61230005_M
435	2223	3.181	61230005_M
436	2251	3.062	61230005_M
437	2282	3.111	61230005_M
438	2312	3.362	61230005_M
439	2343	3.765	61230005_M
440	2373	4.359	61230005_M
441	2404	4.392	61230005_M
442	2435	4.146	61230005_M
443	2465	4.021	61230005_M
444	2496	3.77	61230005_M
445	2526	3.443	61230005_M
446	2557	3.301	61230005_M
447	2588	3.197	61230005_M
448	2616	3.175	61230005_M
449	2647	3.186	61230005_M
450	2677	3.38	61230005_M
451	2708	3.845	61230005_M
452	2738	4.16	61230005_M
453	2769	4.216	61230005_M
454	2800	4.024	61230005_M
455	2830	3.778	61230005_M
456	2861	3.561	61230005_M
457	2891	3.304	61230005_M
458	2922	3.133	61230005_M
459	2953	3.055	61230005_M
460	2982	2.991	61230005_M
461	3013	3.03	61230005_M
462	3043	3.114	61230005_M
463	3074	3.223	61230005_M
464	3104	3.306	61230005_M
465	3135	3.315	61230005_M
466	3166	3.295	61230005_M
467	3196	3.202	61230005_M
468	3227	3.02	61230005_M
469	3257	2.822	61230005_M
470	3288	2.711	61230005_M
471	3319	2.722	61230005_M
472	3347	2.679	61230005_M
473	3378	2.817	61230005_M
474	3408	3.183	61230005_M
475	3439	3.454	61230005_M
476	3469	3.965	61230005_M
477	3500	3.825	61230005_M
478	3531	3.74	61230005_M
479	3561	3.505	61230005_M
480	3592	3.236	61230005_M
481	3622	3.05	61230005_M
482	3653	2.895	61230005_M
483	3684	2.823	61230005_M
484	3712	2.942	61230005_M
485	3743	2.895	61230005_M
486	3773	3.093	61230005_M
487	3804	3.356	61230005_M
488	3834	3.814	61230005_M
489	3865	3.793	61230005_M
490	3896	3.642	61230005_M
491	3926	3.531	61230005_M
492	3957	3.374	61230005_M
493	3959	3.35	61230005_M
494	3987	3.07	61230005_M
495	4018	2.88	61230005_M
496	4049	2.808	61230005_M
497	4077	2.764	61230005_M
498	4108	2.867	61230005_M
499	4138	2.922	61230005_M
500	4169	3.093	61230005_M
501	4199	3.199	61230005_M
502	4222	3.216	61230005_M
503	4230	3.221	61230005_M
504	4261	3.203	61230005_M
505	4291	3.133	61230005_M
506	4322	2.951	61230005_M
507	4352	2.735	61230005_M
508	4383	2.606	61230005_M
509	4414	2.562	61230005_M
510	4443	2.543	61230005_M
511	4474	2.66	61230005_M
512	4504	2.943	61230005_M
513	4535	3.317	61230005_M
514	4565	3.678	61230005_M
515	4596	3.859	61230005_M
